"Time","Electric Car"
"2025-08-31",60
"2025-09-07",56
"2025-09-14",52
"2025-09-21",53
"2025-09-28",51
"2025-10-05",52
"2025-10-12",48
"2025-10-19",49
"2025-10-26",47
"2025-11-02",47
"2025-11-09",50
"2025-11-16",50
"2025-11-23",60
"2025-11-30",62
"2025-12-07",57
"2025-12-14",56
"2025-12-21",51
"2025-12-28",48
"2026-01-04",48
"2026-01-11",51
"2026-01-18",57
"2026-01-25",60
"2026-02-01",57
"2026-02-08",73
"2026-02-15",81
"2026-02-22",72
"2026-03-01",73
"2026-03-08",84
"2026-03-15",71
"2026-03-22",80
"2026-03-29",100
