"Time","Electric Car"
"2025-08-31",7
"2025-09-07",10
"2025-09-14",10
"2025-09-21",9
"2025-09-28",9
"2025-10-05",10
"2025-10-12",7
"2025-10-19",13
"2025-10-26",12
"2025-11-02",22
"2025-11-09",15
"2025-11-16",21
"2025-11-23",31
"2025-11-30",37
"2025-12-07",34
"2025-12-14",29
"2025-12-21",20
"2025-12-28",17
"2026-01-04",17
"2026-01-11",21
"2026-01-18",25
"2026-01-25",32
"2026-02-01",25
"2026-02-08",76
"2026-02-15",100
"2026-02-22",41
"2026-03-01",23
"2026-03-08",17
"2026-03-15",16
"2026-03-22",16
"2026-03-29",14
