"Time","Electric Car"
"2025-08-31",36
"2025-09-07",36
"2025-09-14",38
"2025-09-21",27
"2025-09-28",33
"2025-10-05",44
"2025-10-12",38
"2025-10-19",39
"2025-10-26",49
"2025-11-02",53
"2025-11-09",45
"2025-11-16",55
"2025-11-23",59
"2025-11-30",77
"2025-12-07",54
"2025-12-14",58
"2025-12-21",52
"2025-12-28",55
"2026-01-04",45
"2026-01-11",44
"2026-01-18",59
"2026-01-25",46
"2026-02-01",58
"2026-02-08",87
"2026-02-15",100
"2026-02-22",65
"2026-03-01",45
"2026-03-08",55
"2026-03-15",58
"2026-03-22",73
"2026-03-29",58
