"Time","Electric Car"
"2025-08-31",49
"2025-09-07",48
"2025-09-14",38
"2025-09-21",36
"2025-09-28",33
"2025-10-05",42
"2025-10-12",36
"2025-10-19",33
"2025-10-26",47
"2025-11-02",51
"2025-11-09",61
"2025-11-16",56
"2025-11-23",64
"2025-11-30",57
"2025-12-07",73
"2025-12-14",63
"2025-12-21",76
"2025-12-28",84
"2026-01-04",77
"2026-01-11",65
"2026-01-18",64
"2026-01-25",100
"2026-02-01",60
"2026-02-08",77
"2026-02-15",75
"2026-02-22",71
"2026-03-01",79
"2026-03-08",79
"2026-03-15",68
"2026-03-22",46
"2026-03-29",50
