Observation Date,Worldwide Trends,Price($)/Litre,Indonesia EV Trends,Malaysia EV Trends,Norway EV Trends,Singapore EV Trends,USA EV Trends
2025-09-14,52,0.42,10,38,38,45,41
2025-09-21,53,0.43,9,27,36,35,41
2025-09-28,51,0.44,9,33,33,42,37
2025-10-05,52,0.42,10,44,42,32,40
2025-10-12,48,0.42,7,38,36,33,32
2025-10-19,49,0.39,13,39,33,34,30
2025-10-26,47,0.4,12,49,47,37,30
2025-11-02,47,0.41,22,53,51,36,37
2025-11-09,50,0.4,15,45,61,45,38
2025-11-16,50,0.4,21,55,56,45,41
2025-11-23,60,0.4,31,59,64,56,42
2025-11-30,62,0.4,37,77,57,52,48
2025-12-07,57,0.4,34,54,73,61,48
2025-12-14,56,0.39,29,58,63,60,44
2025-12-21,51,0.38,20,52,76,56,47
2025-12-28,48,0.4,17,55,84,72,43
2026-01-04,48,0.39,17,45,77,51,42
2026-01-11,51,0.4,21,44,65,65,43
2026-01-18,57,0.42,25,59,64,62,47
2026-01-25,60,0.42,32,46,100,74,45
2026-02-01,57,0.44,25,58,60,66,47
2026-02-08,73,0.44,76,87,77,70,47
2026-02-15,81,0.44,100,100,75,65,55
2026-02-22,72,0.45,41,65,71,65,50
2026-03-01,73,0.45,23,45,79,64,53
2026-03-08,84,0.54,17,55,79,100,63
2026-03-15,71,0.6,16,58,68,80,58
2026-03-22,80,0.7,16,73,46,67,62
2026-03-29,100,0.65,14,58,50,63,100
